Time(jday),FRVEG,TOTALVEG,TOTAL,SLA * 10000,GTWOLD,WTW,WLV,WST,WSO,BUFFER,TRNR,TMPA,CO2,NRVEGUNITS,TRUSS_1,TRUSS_2,TRUSS_3,TRUSS_4,TRUSS_5,TRUSS_6,TRUSS_7,TRUSS_8,TRUSS_9,TRUSS_10,TRUSS_11,TRUSS_12,TRUSS_13,TRUSS_14,TRUSS_15,TRUSS_16,TRUSS_17,TRUSS_18,TRUSS_19,TRUSS_20,TRUSS_21,TRUSS_22,TRUSS_23,TRUSS_24,TRUSS_25,TRUSS_26,TRUSS_27,TRUSS_28,TRUSS_29,TRUSS_30,TRUSS_31,TRUSS_32,TRUSS_33,TRUSS_34,TRUSS_35,WTRUSS_615,WVEGUNIT_1,WVEGUNIT_2,WVEGUNIT_3,WVEGUNIT_4,WVEGUNIT_5,WVEGUNIT_6,WVEGUNIT_7,WVEGUNIT_8,WVEGUNIT_9,WVEGUNIT_10,WVEGUNIT_11,WVEGUNIT_12,WVEGUNIT_13,WVEGUNIT_14,WVEGUNIT_15,WVEGUNIT_16
2,2.58,0.95,1.49,348.18,0.0,21.15,12.3,4.42,0.07,0,1,23.0,23.0,4,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,3.35,1.67,0.0,0,0,0,0,0,0,0,0,0,0,0,0
3,2.56,0.95,1.59,348.71,0.0,21.15,12.3,4.42,0.07,0,1,23.0,23.0,4,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,3.35,1.67,0.0,0,0,0,0,0,0,0,0,0,0,0,0
4,2.55,0.95,1.7,349.21,0.0,21.15,12.3,4.42,0.07,0,1,23.0,23.0,4,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,3.35,1.67,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,2.53,0.95,1.83,349.69,0.0,21.15,12.3,4.42,0.07,0,1,23.0,23.0,4,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,3.35,1.67,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,2.51,0.95,1.98,350.15,0.0,21.15,12.3,4.42,0.07,0,1,23.0,23.0,4,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,3.35,1.67,0.0,0,0,0,0,0,0,0,0,0,0,0,0
7,2.5,0.95,2.14,350.58,0.0,21.15,12.3,4.42,0.07,0,1,23.0,23.0,4,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,3.35,1.67,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,2.49,0.95,2.31,350.99,0.0,21.15,12.3,4.42,0.07,0,1,23.0,23.0,4,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,3.35,1.67,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9,2.47,0.95,2.5,351.37,0.0,21.15,12.3,4.42,0.07,0,1,23.0,23.0,4,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,3.35,1.67,0.0,0,0,0,0,0,0,0,0,0,0,0,0
10,2.46,0.95,2.71,351.72,0.0,21.15,12.3,4.42,0.07,0,1.17,23.0,23.0,4,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,3.35,1.67,0.0,0,0,0,0,0,0,0,0,0,0,0,0
11,2.45,0.95,2.93,352.05,0.0,21.15,12.3,4.42,0.07,0,1.34,23.0,23.0,4,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,3.35,1.67,0.0,0,0,0,0,0,0,0,0,0,0,0,0
12,2.44,0.95,3.16,352.35,0.0,21.15,12.3,4.42,0.07,0,1.51,23.0,23.0,4,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,3.35,1.67,0.0,0,0,0,0,0,0,0,0,0,0,0,0
13,2.44,0.95,3.4,352.63,0.0,21.15,12.3,4.42,0.07,0,1.68,23.0,23.0,4,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,3.35,1.67,0.0,0,0,0,0,0,0,0,0,0,0,0,0
14,2.43,0.95,3.65,352.89,0.0,21.15,12.3,4.42,0.07,0,1.85,23.0,23.0,4,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,3.35,1.67,0.0,0,0,0,0,0,0,0,0,0,0,0,0
15,2.42,1.12,4.5,353.11,0.0,21.15,12.3,4.42,0.07,0,2.02,23.0,23.0,5,0.07,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,3.35,1.67,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
16,2.42,1.12,4.85,353.32,0.0,21.15,12.3,4.42,0.07,0,2.19,23.0,23.0,5,0.07,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,3.35,1.67,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
17,2.41,1.12,5.22,353.49,0.0,21.15,12.3,4.42,0.07,0,2.36,23.0,23.0,5,0.07,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,3.35,1.67,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
18,2.41,1.12,5.59,353.64,0.0,21.15,12.3,4.42,0.07,0,2.53,23.0,23.0,5,0.07,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,3.35,1.67,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
19,2.4,1.12,5.96,353.76,0.0,21.15,12.3,4.42,0.07,0,2.7,23.0,23.0,5,0.07,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,3.35,1.67,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
20,2.4,1.12,6.34,353.86,0.0,21.15,12.3,4.42,0.07,0,2.87,23.0,23.0,5,0.07,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,3.35,1.67,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
21,2.4,1.29,7.32,353.93,0.0,21.15,12.3,4.42,0.07,0,3.04,23.0,23.0,6,0.07,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,3.35,1.67,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
